G167,74,material:bois traité / travaillé,allumettes et bâtons de feux d'artifices
G165,72,material:bois traité / travaillé,"bâtonnets de glace/ fourchette, baguette, cure-dent"
G161,69,material:bois traité / travaillé,bois de construction traité
G164,119,material:bois traité / travaillé,cageots à poissons en bois
G162,70,material:bois traité / travaillé,caisses en bois
G163,71,material:bois traité / travaillé,casiers de pêche des crustacés en bois
G159,68,material:bois traité / travaillé,liège
G160,69,material:bois traité / travaillé,palettes
G166,73,material:bois traité / travaillé,pinceaux
G171,74,material:bois traité / travaillé,autres morceaux de bois < 50 cm
G172,75,material:bois traité / travaillé,autres morceaux de bois > 50 cm
G126,49,caoutchouc,balles en caoutchouc
G125,49,caoutchouc,ballons de baudruche et tiges à ballons
G132,53,caoutchouc,bobines de pêche en caouctchouc
G127,50,caoutchouc,bottes en caoutchouc
G129,53,caoutchouc,chambres à air et feuilles en caoutchouc
G131,53,caoutchouc,petits élastiques (pour la cuisine / le ménage / la poste)
G128,52,caoutchouc,pneus et courroies
G133,97,caoutchouc,préservatifs (incl. emballage)
G130,52,caoutchouc,roues
G134,53,caoutchouc,autres éléments en caoutchouc
G47,30,matériaux polymères artificiels,bâches en plastique pour la culture des moules (tahitiennes)
G66,39,matériaux polymères artificiels,bandes de cerclage
G60,36,matériaux polymères artificiels,bâtonnets lumineux (tubes avec liquide) pour la pêche
G31,19,matériaux polymères artificiels,bâtons de sucette
G15,9,matériaux polymères artificiels,bidons / flacons d'huile de moteur  > 50cm
G14,8,matériaux polymères artificiels,bidons / flacons d'huile de moteur < 50cm
G91,48,matériaux polymères artificiels,biofiltrants de station d'épuration
G92,48,matériaux polymères artificiels,boîtes / emballage d'appâts
G20,15,matériaux polymères artificiels,bouchons et couvercles en plastique
G24,15,matériaux polymères artificiels,cerclages de bouchons et de couvercles en plastique
G63,37,matériaux polymères artificiels,bouées
G11,7,matériaux polymères artificiels,bouteilles / flacons cosmétiques et crème solaire
G7,4,matériaux polymères artificiels,"bouteilles de boisson <= 0,5l"
G8,4,matériaux polymères artificiels,"bouteilles de boisson > 0,5l"
G13,12,matériaux polymères artificiels,autres bouteilles et flacons en plastique
G26,16,matériaux polymères artificiels,briquets
G18,13,matériaux polymères artificiels,cageots / corbeilles / paniers en plastique
G57,34,matériaux polymères artificiels,caisses à poissons en plastique
G58,34,matériaux polymères artificiels,caisses à poissons en polystyrène expansé
G70,43,matériaux polymères artificiels,cartouches de fusil de chasse
G17,11,matériaux polymères artificiels,cartouches de joint en silicone
G42,26,matériaux polymères artificiels,casiers / nasses pour crustacés en plastique
G69,42,matériaux polymères artificiels,casques de chantier
G71,44,matériaux polymères artificiels,chaussures / sandales
G49,31,matériaux polymères artificiels,cordes (diamètre > 1 cm)
G50,32,matériaux polymères artificiels,cordes et ficelles (diamètre < 1 cm)
G95,98,matériaux polymères artificiels,cotons-tiges
G98,48,matériaux polymères artificiels,couches
G34,22,matériaux polymères artificiels,couverts et plateaux en plastique
G89,48,matériaux polymères artificiels,déchets de construction en plastique
G10,6,matériaux polymères artificiels,emballages de nourriture incluant les emballages de fast food
G73,45,matériaux polymères artificiels,éponges en mousse
G43,114,matériaux polymères artificiels,étiquettes (pêche et industrie)
G68,41,matériaux polymères artificiels,fibre de verre / fragments
G45,28,matériaux polymères artificiels,filets de moules / huîtres
G53,115,matériaux polymères artificiels,filets et morceaux de filets de pêche < 50 cm
G54,116,matériaux polymères artificiels,filets et morceaux de filets de pêche > 50 cm
G67,40,matériaux polymères artificiels,film plastique / emballage industriel
G62,37,matériaux polymères artificiels,flotteurs pour la pêche
G39,25,matériaux polymères artificiels,gants
G64,48,matériaux polymères artificiels,gardes boues / pares-chocs
G33,21,matériaux polymères artificiels,gobelets et tasses en plastique
G112,117,matériaux polymères artificiels,granulés industriels
G32,20,matériaux polymères artificiels,"jouets, morceaux de jouets et cotillons"
G59,35,matériaux polymères artificiels,lignes de pêche / monofilament (pêche à la ligne)
G97,101,matériaux polymères artificiels,lingettes
G100,103,matériaux polymères artificiels,
G27,64,matériaux polymères artificiels,mégots / filtres de cigarettes
G78,117,matériaux polymères artificiels,"morceaux de plastique < 2,5 cm"
G79,46,matériaux polymères artificiels,"morceaux de plastique entre 2,5 cm et 50 cm"
G80,47,matériaux polymères artificiels,morceaux de plastique > 50 cm
G81,117,matériaux polymères artificiels,"morceaux de polystyrène < 2,5 cm"
G82,46,matériaux polymères artificiels,"morceaux de polystyrène entre 2,5 cm et 50 cm"
G83,47,matériaux polymères artificiels,morceaux de polystyrène > 50 cm
G35,22,matériaux polymères artificiels,pailles et mélangeurs
G86,20,matériaux polymères artificiels,palmes et morceaux de palmes
G30,19,matériaux polymères artificiels,paquets de chips / emballages de friandises
G25,48,matériaux polymères artificiels,paquets de tabac/emballages plastiques des paquets de cigarettes
G29,18,matériaux polymères artificiels,peignes / brosses à cheveux / lunettes de soleil
G19,14,matériaux polymères artificiels,pièces de voiture en plastique
G46,29,matériaux polymères artificiels,plateaux d'huîtres (tout ce qui concerne la cultures des huitres)
G90,48,matériaux polymères artificiels,pots de fleurs en plastique
G37,24,matériaux polymères artificiels,sacs de légumes en maille
G36,23,matériaux polymères artificiels,sacs d'engrais / sacs d'aliments pour animaux
G101,121,matériaux polymères artificiels,sacs d'excréments de chien
G3,2,matériaux polymères artificiels,"sacs en plastique (sacs de courses, incl. morceaux de sacs)"
G4,3,matériaux polymères artificiels,"sachets en plastique (ex. sacs congelation, incl. morceaux)"
